problem,dimension,algorithm,gd_mean,igd_mean
ZDT1,10,MOGA,0.22163,0.0153873
ZDT1,10,MOGA Bonus,0.000407961,6.9226e-05
ZDT1,10,Crowding,7.407e-05,2.4035e-05
ZDT1,10,Crowding + epsilon,0.000114416,5.4242e-05
ZDT1,10,Crowding + HV,5.6005e-05,2.0311e-05
ZDT2,10,MOGA,0.36434,0.0339345
ZDT2,10,MOGA Bonus,0.000398918,7.8405e-05
ZDT2,10,Crowding,3.0551e-05,2.4906e-05
ZDT2,10,Crowding + epsilon,4.9583e-05,5.878e-05
ZDT2,10,Crowding + HV,3.0317e-05,2.7552e-05
ZDT3,10,MOGA,0.196877,0.0135702
ZDT3,10,MOGA Bonus,0.000377693,0.00169625
ZDT3,10,Crowding,5.4801e-05,0.000137657
ZDT3,10,Crowding + epsilon,0.000111489,0.000161242
ZDT3,10,Crowding + HV,5.435e-05,0.000137711
ZDT4,10,MOGA,26.8802,1.68026
ZDT4,10,MOGA Bonus,0.0608901,0.07781
ZDT4,10,Crowding,0.0567995,0.0725034
ZDT4,10,Crowding + epsilon,0.0783581,0.0725631
ZDT4,10,Crowding + HV,0.0557833,0.0725033
ZDT6,10,MOGA,1.56325,0.206279
ZDT6,10,MOGA Bonus,0.00377441,0.00158274
ZDT6,10,Crowding,2.7082e-05,0.000153783
ZDT6,10,Crowding + epsilon,5.4976e-05,0.000168422
ZDT6,10,Crowding + HV,2.7091e-05,0.000153783
ZDT1,30,MOGA,0.330381,0.0530513
ZDT1,30,MOGA Bonus,0.000661009,0.00021174
ZDT1,30,Crowding,0.000127167,0.000127297
ZDT1,30,Crowding + epsilon,0.000179803,0.000140351
ZDT1,30,Crowding + HV,0.000127167,0.000127297
ZDT2,30,MOGA,0.7451,0.0950898
ZDT2,30,MOGA Bonus,0.000205368,0.000228288
ZDT2,30,Crowding,0.00015253,0.000153717
ZDT2,30,Crowding + epsilon,0.000185583,0.000161669
ZDT2,30,Crowding + HV,0.00015253,0.000153717
ZDT3,30,MOGA,0.310745,0.0448019
ZDT3,30,MOGA Bonus,0.000395673,0.000542508
ZDT3,30,Crowding,0.000178501,0.000252595
ZDT3,30,Crowding + epsilon,0.000203321,0.000260998
ZDT3,30,Crowding + HV,0.000178501,0.000252595
ZDT4,30,MOGA,104.99,12.6983
ZDT4,30,MOGA Bonus,1.31694,0.981946
ZDT4,30,Crowding,1.9144,1.16444
ZDT4,30,Crowding + epsilon,1.96139,1.16444
ZDT4,30,Crowding + HV,1.9144,1.16444
ZDT6,30,MOGA,1.74793,0.286623
ZDT6,30,MOGA Bonus,0.0498822,0.0219511
ZDT6,30,Crowding,0.0479397,0.0220516
ZDT6,30,Crowding + epsilon,0.0507939,0.0220516
ZDT6,30,Crowding + HV,0.0479397,0.0220516
